Organisation,Type,Region,Priority (1 = first),Why they matter,Role or person to reach,Named public contact (papers / programme leads only),Website,Channel,Pitch angle,Email,Status,Notes
North Central Texas Council of Governments (NCTCOG),MPO / regional agency,TX,1,Named second target; large in-house modeling group; Dallas demo corridor,"Transportation Department, Model Development; Congestion Management",,https://nctcog.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Southern California Association of Governments (SCAG),MPO / regional agency,CA,1,Largest MPO; PeMS data region,Modeling and Forecasting Department,,https://scag.ca.gov,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Arizona DOT (ADOT),State DOT,AZ,1,Phoenix freeway management system; MAG modeling nearby,Traffic Operations Center; Transportation Systems Management and Operations,,https://azdot.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Caltrans,State DOT,CA,1,PeMS detector data is public and the loader exists; DOT-style validation case with measured counts,Division of Traffic Operations; Office of Traffic Management (Mobility); District 4/7 operations,,https://dot.ca.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Colorado DOT (CDOT),State DOT,CO,1,I-70 mountain corridor VSL; RoadX innovation programme,Traffic Safety and Engineering; ITS branch,,https://codot.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Florida DOT (FDOT),State DOT,FL,1,"Large ITS programme (I-4 VSL history), unit-cost tables published, active microsimulation guidance",State Traffic Engineering and Operations Office; TSM&O programme; Systems Implementation Office,,https://fdot.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Georgia DOT,State DOT,GA,1,Metro Atlanta congestion; managed lanes; active TSMO office,Office of Traffic Operations; Office of Planning modeling,,https://dot.ga.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Michigan DOT (MDOT),State DOT,MI,1,Statewide probe data buyer; work-zone VSL trials,"Bureau of Field Services, ITS programme; Statewide Planning",,https://michigan.gov/mdot,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Minnesota DOT (MnDOT),State DOT,MN,1,Twin Cities smart-lane VSL history; University of Minnesota (Stern) nearby,Regional Transportation Management Center; Office of Traffic Engineering,,https://dot.state.mn.us,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
North Carolina DOT (NCDOT),State DOT,NC,1,Probe-data cost comparisons published; growing TSMO,Transportation Mobility and Safety Division; Transportation Planning modeling,,https://ncdot.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Ohio DOT (ODOT),State DOT,OH,1,ODOT VISSIM protocol is a selectable criteria profile,Office of Traffic Operations; Modeling and Forecasting,,https://transportation.ohio.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Tennessee DOT (TDOT),State DOT,TN,1,Owns the I-24 corridor and the SMART Corridor gantries; the flagship results are the introduction; holds the radar counts,Director of Traffic Operations (TSMO); Long Range Planning modeling lead; Research Office,,https://tn.gov/tdot,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Texas DOT (TxDOT),State DOT,TX,1,Named second target; TxDOT analysis procedures are a selectable criteria profile; Dallas demo corridor in the gallery,Traffic Safety / Traffic Operations Division; TPP modeling section; Research and Technology Implementation,,https://txdot.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Virginia DOT (VDOT),State DOT,VA,1,Publishes calibration research (VTRC); I-66/I-95 managed and VSL corridors,Operations Division; Transportation and Mobility Planning; VTRC,,https://virginiadot.org,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Washington State DOT (WSDOT),State DOT,WA,1,Long-running VSL / active traffic management on I-5 and SR 520; strong TSMO culture,Traffic Operations; TSMO programme; Multimodal Planning,,https://wsdot.wa.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
I-24 MOTION testbed,University / research lab,TN,1,The data instrument behind the flagship; the results are the introduction,Data team (Derek Gloudemans et al.); testbed director,,https://i24motion.org,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
Texas A&M Transportation Institute (TTI),University / research lab,TX,1,Largest US transportation research institute; TxDOT research arm,Mobility and TSMO programme leads,,https://tti.tamu.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"UC Berkeley, Institute of Transportation Studies / CIRCLES",University / research lab,CA,1,Led the CIRCLES consortium; RL traffic smoothing,Faculty listed; also the lab's programme manager,Prof. Alexandre M. Bayen; Prof. Maria Laura Delle Monache,https://its.berkeley.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"University of Minnesota, Civil Engineering",University / research lab,MN,1,Lead author of the 2018 field experiments (FollowerStopper),Faculty listed; also the lab's programme manager,Prof. Raphael Stern,https://umn.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"Vanderbilt University, Institute for Software Integrated Systems",University / research lab,TN,1,Runs I-24 MOTION; co-led the 100-vehicle CIRCLES test,Faculty listed; also the lab's programme manager,Prof. Daniel B. Work (I-24 MOTION); Prof. Jonathan Sprinkle,https://vanderbilt.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
Aurora Innovation,AV fleet / OEM,US,2,Autonomous trucking on Texas freeways (I-45),Autonomy research; policy,,https://aurora.tech,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
Ford Motor Company,AV fleet / OEM,US,2,BlueCruise fleet,Research and advanced engineering,,https://ford.com,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
General Motors,AV fleet / OEM,US,2,Super Cruise fleet; traffic-flow research,Advanced engineering; ADAS,,https://gm.com,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
Waymo,AV fleet / OEM,US,2,Largest robotaxi fleet; interested in traffic-flow effects,Research; policy and public affairs,,https://waymo.com,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
AECOM,Consultancy,US,2,Global; large simulation practice,Traffic engineering and simulation leads,,https://aecom.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Arcadis,Consultancy,US,2,,Mobility and traffic practice,,https://arcadis.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
AtkinsRéalis,Consultancy,US,2,Simulation-heavy; UK roots in modeling,Traffic modeling practice,,https://atkinsrealis.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
HDR,Consultancy,US,2,,Traffic operations and ITS leads,,https://hdrinc.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
HNTB,Consultancy,US,2,Large DOT consultant; publishes rate schedules; ITS and traffic practice,Traffic engineering and ITS practice leads,,https://hntb.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Jacobs,Consultancy,US,2,Large DOT consultant,Traffic and ITS practice leads,,https://jacobs.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Michael Baker International,Consultancy,US,2,,Traffic and ITS practice,,https://mbakerintl.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Parsons,Consultancy,US,2,ITS systems integrator and TMC operator,ITS practice; TMC operations,,https://parsons.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Southwest Research Institute (SwRI) ITS,Consultancy,TX,2,Builds ATMS software (Lonestar) for TxDOT and others; integration partner for a live path,"Intelligent Systems Division, ITS",,https://swri.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Stantec,Consultancy,US,2,,Transportation planning and traffic leads,,https://stantec.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
VHB,Consultancy,US,2,Northeast planning and traffic consultancy,Traffic engineering and modeling,,https://vhb.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
WSP USA,Consultancy,US,2,Large traffic and ITS practice; runs many DOT calibration studies,Traffic and TSMO practice leads,,https://wsp.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
HERE Technologies,"Data, sensors, integrators",US,2,Probe data; DOT contracts,Public sector; automotive,,https://here.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
INRIX,"Data, sensors, integrators",US,2,Probe speed data sold to DOTs; a live-path data channel,Public sector partnerships,,https://inrix.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
Wavetronix,"Data, sensors, integrators",US,2,Radar detectors on most freeways; the sensor for a live path,OEM / integrator partnerships,,https://wavetronix.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
AASHTO Committee on Transportation System Operations,Federal / industry body,US,2,State DOT operations leaders in one room,Committee liaison,,https://transportation.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
Association of Metropolitan Planning Organizations (AMPO),Federal / industry body,US,2,400+ MPOs; annual conference and modeling working groups,AMPO staff; Travel Modeling working group,,https://ampo.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
ITS America,Federal / industry body,US,2,Industry association; annual conference,Membership and programme staff,,https://itsa.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
National Operations Center of Excellence (NOCoE),Federal / industry body,US,2,"TSMO practitioner network run by AASHTO, ITE and ITS America",NOCoE staff; TSMO awards,,https://transportationops.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
TRB / NCHRP,Federal / industry body,US,2,Research problem statements; synthesis projects,NCHRP programme officers,,https://trb.org/NCHRP,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
USDOT ITS Joint Program Office,Federal / industry body,US,2,ITS research funding; deployment evaluation and cost databases,ITS JPO programme managers,,https://its.dot.gov,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
USDOT SBIR / STTR programme,Federal / industry body,US,2,Federal small-business research funding path,Volpe Center SBIR office,,https://volpe.dot.gov/sbir,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
Alamo Area MPO (San Antonio),MPO / regional agency,TX,2,,"Transportation Planning, Modeling",,https://alamoareampo.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Boston Region MPO (CTPS),MPO / regional agency,MA,2,,Travel Demand Modeling; Traffic Analysis,,https://bostonmpo.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
"Capital Area MPO (CAMPO, Austin)",MPO / regional agency,TX,2,,Modeling and Data; Regional Planning,,https://campotexas.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Chicago Metropolitan Agency for Planning (CMAP),MPO / regional agency,IL,2,,"Research and Programming, Modeling",,https://cmap.illinois.gov,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Delaware Valley Regional Planning Commission (DVRPC),MPO / regional agency,PA,2,Philadelphia region; Office of Modeling and Analysis,Office of Travel Modeling and Analysis,,https://dvrpc.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Denver Regional Council of Governments (DRCOG),MPO / regional agency,CO,2,,"Transportation Planning and Operations, Modeling",,https://drcog.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Metro (Portland),MPO / regional agency,OR,2,,"Research Center, Modeling",,https://oregonmetro.gov,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
MetroPlan Orlando,MPO / regional agency,FL,2,I-4 corridor (historic VSL site),"Transportation Planning, Modeling",,https://metroplanorlando.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Metropolitan Council (Twin Cities),MPO / regional agency,MN,2,,"Metropolitan Transportation Services, Modeling",,https://metrocouncil.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Miami-Dade TPO,MPO / regional agency,FL,2,,"Planning, Modeling",,https://miamidadetpo.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
National Capital Region TPB (MWCOG),MPO / regional agency,DC,2,Washington region; MATOC operations coordination,Travel Forecasting and Analysis; Systems Performance,,https://mwcog.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
New York Metropolitan Transportation Council (NYMTC),MPO / regional agency,NY,2,,"Technical Group, Modeling",,https://nymtc.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Puget Sound Regional Council (PSRC),MPO / regional agency,WA,2,,Data and Modeling,,https://psrc.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Sacramento Area Council of Governments (SACOG),MPO / regional agency,CA,2,,Modeling and Analytics,,https://sacog.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
San Diego Association of Governments (SANDAG),MPO / regional agency,CA,2,Strong modeling shop (ABM),Data Science and Modeling,,https://sandag.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
